referring_location_id,referring_location_name,specialty_id,specialty_name,referral_count,urgent_referral_count,validated_referral_count,scheduled_referral_count,completed_referral_count,closed_loop_referral_count,leaked_referral_count,overdue_open_referral_count,intake_completeness_rate,scheduling_conversion_rate,appointment_completion_rate,closed_loop_rate,referral_leakage_rate,average_days_to_schedule,average_days_to_completion,average_report_turnaround_days
LOC003,"Parsippany Primary Care Campus",SPC001,Cardiology,35,0,33,26,23,18,4,13,0.9429,0.7879,0.8846,0.5143,0.1212,3.88,23.37,5.72
LOC004,"Wayne Primary Care Campus",SPC001,Cardiology,45,4,42,34,30,24,6,13,0.9333,0.8500,0.8824,0.5333,0.1500,3.77,23.67,4.96
LOC001,"Morristown Primary Care Campus",SPC001,Cardiology,52,1,51,36,30,26,10,13,0.9808,0.7660,0.8333,0.5000,0.2128,3.77,22.90,5.46
LOC002,"Denville Primary Care Campus",SPC001,Cardiology,45,4,42,26,23,21,3,15,0.9333,0.7429,0.8846,0.4667,0.0857,3.51,26.45,6.05
LOC005,"Newark Primary Care Campus",SPC001,Cardiology,34,6,34,22,16,15,4,13,1.0000,0.7333,0.7273,0.4412,0.1333,3.83,26.49,5.07
LOC006,"Paterson Primary Care Campus",SPC001,Cardiology,35,4,33,26,19,16,4,14,0.9429,0.8125,0.7308,0.4571,0.1250,3.46,22.74,4.81
LOC004,"Wayne Primary Care Campus",SPC002,Dermatology,40,3,37,30,26,22,4,13,0.9250,0.8333,0.8667,0.5500,0.1111,3.46,23.55,5.59
LOC005,"Newark Primary Care Campus",SPC002,Dermatology,50,8,49,40,31,23,3,22,0.9800,0.8889,0.7750,0.4600,0.0667,3.98,21.54,4.91
LOC002,"Denville Primary Care Campus",SPC002,Dermatology,55,9,52,37,28,23,11,21,0.9455,0.7255,0.7568,0.4182,0.2157,3.91,23.09,5.96
LOC003,"Parsippany Primary Care Campus",SPC002,Dermatology,52,8,50,34,28,21,7,22,0.9615,0.7391,0.8235,0.4038,0.1522,3.93,25.19,5.48
LOC006,"Paterson Primary Care Campus",SPC002,Dermatology,30,5,30,22,19,16,2,11,1.0000,0.8148,0.8636,0.5333,0.0741,3.27,23.72,5.94
LOC001,"Morristown Primary Care Campus",SPC002,Dermatology,36,5,32,23,16,14,6,16,0.8889,0.7188,0.6957,0.3889,0.1875,4.26,24.64,5.00
LOC001,"Morristown Primary Care Campus",SPC003,Endocrinology,27,2,25,17,15,15,4,6,0.9259,0.7727,0.8824,0.5556,0.1818,3.58,22.82,5.47
LOC006,"Paterson Primary Care Campus",SPC003,Endocrinology,37,5,35,20,17,14,7,14,0.9459,0.6061,0.8500,0.3784,0.2121,3.51,19.95,6.21
LOC005,"Newark Primary Care Campus",SPC003,Endocrinology,37,3,31,25,18,18,3,16,0.8378,0.8333,0.7200,0.4865,0.1000,3.48,24.91,6.22
LOC003,"Parsippany Primary Care Campus",SPC003,Endocrinology,51,4,46,33,23,19,4,24,0.9020,0.8049,0.6970,0.3725,0.0976,3.98,20.25,5.47
LOC004,"Wayne Primary Care Campus",SPC003,Endocrinology,38,2,34,27,15,14,5,19,0.8947,0.7941,0.5556,0.3684,0.1471,3.49,28.17,6.57
LOC002,"Denville Primary Care Campus",SPC003,Endocrinology,39,10,39,31,23,18,3,18,1.0000,0.8158,0.7419,0.4615,0.0789,3.62,22.28,5.83
LOC001,"Morristown Primary Care Campus",SPC004,Gastroenterology,49,6,48,33,29,23,8,16,0.9796,0.7174,0.8788,0.4694,0.1739,3.29,21.90,5.70
LOC005,"Newark Primary Care Campus",SPC004,Gastroenterology,32,4,30,20,15,14,6,10,0.9375,0.7407,0.7500,0.4375,0.2222,4.12,25.04,5.21
LOC006,"Paterson Primary Care Campus",SPC004,Gastroenterology,39,5,38,27,20,18,4,15,0.9744,0.7714,0.7407,0.4615,0.1143,4.15,24.25,4.67
LOC004,"Wayne Primary Care Campus",SPC004,Gastroenterology,44,4,41,27,20,17,4,21,0.9318,0.7105,0.7407,0.3864,0.1053,3.90,21.76,6.24
LOC003,"Parsippany Primary Care Campus",SPC004,Gastroenterology,45,6,41,25,16,14,1,27,0.9111,0.6944,0.6400,0.3111,0.0278,2.98,23.04,5.86
LOC002,"Denville Primary Care Campus",SPC004,Gastroenterology,40,7,38,26,23,19,4,14,0.9500,0.7647,0.8846,0.4750,0.1176,3.67,22.57,5.68
LOC003,"Parsippany Primary Care Campus",SPC010,"General Surgery",44,4,40,34,25,23,2,19,0.9091,0.8718,0.7353,0.5227,0.0513,3.30,18.71,6.57
LOC005,"Newark Primary Care Campus",SPC010,"General Surgery",53,4,49,29,25,21,4,25,0.9245,0.7073,0.8621,0.3962,0.0976,3.54,21.71,4.81
LOC004,"Wayne Primary Care Campus",SPC010,"General Surgery",47,8,46,35,29,24,5,17,0.9787,0.8537,0.8286,0.5106,0.1220,4.19,22.41,5.75
LOC002,"Denville Primary Care Campus",SPC010,"General Surgery",37,6,33,19,15,13,6,18,0.8919,0.5758,0.7895,0.3514,0.1818,4.45,20.91,6.54
LOC006,"Paterson Primary Care Campus",SPC010,"General Surgery",32,5,29,22,20,16,2,13,0.9063,0.8148,0.9091,0.5000,0.0741,3.67,25.68,4.69
LOC001,"Morristown Primary Care Campus",SPC010,"General Surgery",44,4,40,33,31,25,3,15,0.9091,0.8684,0.9394,0.5682,0.0789,3.96,25.07,5.28
LOC002,"Denville Primary Care Campus",SPC005,Neurology,39,7,34,28,21,19,3,16,0.8718,0.9032,0.7500,0.4872,0.0968,3.88,24.11,5.37
LOC003,"Parsippany Primary Care Campus",SPC005,Neurology,54,6,50,32,22,18,7,25,0.9259,0.7111,0.6875,0.3333,0.1556,3.65,21.23,6.06
LOC006,"Paterson Primary Care Campus",SPC005,Neurology,46,7,44,34,27,25,5,15,0.9565,0.8293,0.7941,0.5435,0.1220,3.12,21.60,5.80
LOC005,"Newark Primary Care Campus",SPC005,Neurology,52,8,50,37,30,26,8,18,0.9615,0.7400,0.8108,0.5000,0.1600,3.58,23.52,6.35
LOC004,"Wayne Primary Care Campus",SPC005,Neurology,48,6,47,34,32,28,8,9,0.9792,0.8095,0.9412,0.5833,0.1905,4.04,24.58,6.21
LOC001,"Morristown Primary Care Campus",SPC005,Neurology,38,1,36,25,18,17,5,16,0.9474,0.7576,0.7200,0.4474,0.1515,3.43,19.28,5.82
LOC003,"Parsippany Primary Care Campus",SPC006,Orthopedics,46,9,45,36,28,23,4,18,0.9783,0.8571,0.7778,0.5000,0.0952,3.96,23.27,5.17
LOC001,"Morristown Primary Care Campus",SPC006,Orthopedics,37,7,35,23,16,15,6,16,0.9459,0.6765,0.6957,0.4054,0.1765,4.01,22.19,4.40
LOC006,"Paterson Primary Care Campus",SPC006,Orthopedics,37,4,36,24,20,17,4,14,0.9730,0.7500,0.8333,0.4595,0.1250,4.00,25.99,5.35
LOC004,"Wayne Primary Care Campus",SPC006,Orthopedics,39,7,37,29,23,17,4,18,0.9487,0.7838,0.7931,0.4359,0.1081,3.98,22.51,4.24
LOC005,"Newark Primary Care Campus",SPC006,Orthopedics,41,5,38,26,19,17,4,20,0.9268,0.7429,0.7308,0.4146,0.1143,3.75,24.84,5.88
LOC002,"Denville Primary Care Campus",SPC006,Orthopedics,34,4,32,25,18,15,5,13,0.9412,0.8333,0.7200,0.4412,0.1667,3.73,20.94,5.73
LOC002,"Denville Primary Care Campus",SPC007,Otolaryngology,31,6,30,23,20,19,4,8,0.9677,0.7931,0.8696,0.6129,0.1379,3.83,21.59,5.37
LOC003,"Parsippany Primary Care Campus",SPC007,Otolaryngology,40,5,37,30,24,21,4,15,0.9250,0.8333,0.8000,0.5250,0.1111,3.95,22.50,4.90
LOC006,"Paterson Primary Care Campus",SPC007,Otolaryngology,38,2,37,23,17,13,7,15,0.9737,0.6765,0.7391,0.3421,0.2059,4.13,27.73,5.62
LOC001,"Morristown Primary Care Campus",SPC007,Otolaryngology,36,2,34,27,21,19,3,13,0.9444,0.8438,0.7778,0.5278,0.0938,4.06,25.75,5.89
LOC005,"Newark Primary Care Campus",SPC007,Otolaryngology,36,4,33,24,24,21,6,9,0.9167,0.7500,1.0000,0.5833,0.1875,3.69,21.73,5.67
LOC004,"Wayne Primary Care Campus",SPC007,Otolaryngology,29,5,29,21,16,11,4,14,1.0000,0.7500,0.7619,0.3793,0.1429,3.81,22.55,5.82
LOC005,"Newark Primary Care Campus",SPC008,Pulmonology,49,6,45,27,23,22,8,15,0.9184,0.6923,0.8519,0.4490,0.2051,3.38,23.64,5.27
LOC002,"Denville Primary Care Campus",SPC008,Pulmonology,46,9,45,35,32,26,5,15,0.9783,0.8140,0.9143,0.5652,0.1163,3.81,25.05,5.50
LOC003,"Parsippany Primary Care Campus",SPC008,Pulmonology,35,5,33,25,18,15,4,15,0.9429,0.8333,0.7200,0.4286,0.1333,3.90,23.56,5.20
LOC001,"Morristown Primary Care Campus",SPC008,Pulmonology,43,5,43,31,25,21,6,14,1.0000,0.7750,0.8065,0.4884,0.1500,3.79,24.59,5.67
LOC004,"Wayne Primary Care Campus",SPC008,Pulmonology,42,4,40,26,19,16,9,17,0.9524,0.6667,0.7308,0.3810,0.2308,3.35,21.98,5.75
LOC006,"Paterson Primary Care Campus",SPC008,Pulmonology,41,3,39,26,17,14,6,19,0.9512,0.7647,0.6538,0.3415,0.1765,4.25,23.59,6.93
LOC003,"Parsippany Primary Care Campus",SPC009,Rheumatology,57,8,52,38,31,26,5,22,0.9123,0.7917,0.8158,0.4561,0.1042,3.66,21.09,5.15
LOC001,"Morristown Primary Care Campus",SPC009,Rheumatology,48,9,45,31,23,21,3,21,0.9375,0.7561,0.7419,0.4375,0.0732,3.51,22.33,5.71
LOC006,"Paterson Primary Care Campus",SPC009,Rheumatology,41,4,40,29,21,20,5,13,0.9756,0.8056,0.7241,0.4878,0.1389,4.19,25.31,5.40
LOC002,"Denville Primary Care Campus",SPC009,Rheumatology,39,6,39,28,21,20,6,12,1.0000,0.7568,0.7500,0.5128,0.1622,4.37,23.33,5.85
LOC005,"Newark Primary Care Campus",SPC009,Rheumatology,50,9,45,31,27,21,6,21,0.9000,0.7750,0.8710,0.4200,0.1500,3.64,20.75,5.05
LOC004,"Wayne Primary Care Campus",SPC009,Rheumatology,44,5,41,33,24,21,4,16,0.9318,0.8919,0.7273,0.4773,0.1081,3.46,22.66,6.00
