organization_id,source_organization_id,organization_name,organization_type,internal_flag,synthetic_npi,phone_number,fax_number,active_flag,created_at,updated_at
ORG001,SRC-ORG001,NorthStar Morristown Primary Care,Primary Care Practice,1,9999900001,973-555-1001,973-555-2001,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG002,SRC-ORG002,NorthStar Denville Primary Care,Primary Care Practice,1,9999900002,973-555-1002,973-555-2002,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG003,SRC-ORG003,NorthStar Parsippany Primary Care,Primary Care Practice,1,9999900003,973-555-1003,973-555-2003,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG004,SRC-ORG004,NorthStar Wayne Primary Care,Primary Care Practice,1,9999900004,973-555-1004,973-555-2004,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG005,SRC-ORG005,NorthStar Newark Primary Care,Primary Care Practice,1,9999900005,973-555-1005,973-555-2005,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG006,SRC-ORG006,NorthStar Paterson Primary Care,Primary Care Practice,1,9999900006,973-555-1006,973-555-2006,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG007,SRC-ORG007,Portfolio Cardiology Group 01,Specialist Practice,0,9999900007,862-555-1001,862-555-2001,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG008,SRC-ORG008,Portfolio Dermatology Group 02,Specialist Practice,0,9999900008,862-555-1002,862-555-2002,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG009,SRC-ORG009,Portfolio Endocrinology Group 03,Specialist Practice,0,9999900009,862-555-1003,862-555-2003,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG010,SRC-ORG010,Portfolio Gastroenterology Group 04,Specialist Practice,0,9999900010,862-555-1004,862-555-2004,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG011,SRC-ORG011,Portfolio Neurology Group 05,Specialist Practice,0,9999900011,862-555-1005,862-555-2005,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG012,SRC-ORG012,Portfolio Orthopedics Group 06,Specialist Practice,0,9999900012,862-555-1006,862-555-2006,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG013,SRC-ORG013,Portfolio Otolaryngology Group 07,Specialist Practice,0,9999900013,862-555-1007,862-555-2007,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG014,SRC-ORG014,Portfolio Pulmonology Group 08,Specialist Practice,0,9999900014,862-555-1008,862-555-2008,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG015,SRC-ORG015,Portfolio Rheumatology Group 09,Specialist Practice,0,9999900015,862-555-1009,862-555-2009,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG016,SRC-ORG016,Portfolio General Surgery Group 10,Specialist Practice,0,9999900016,862-555-1010,862-555-2010,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG017,SRC-ORG017,Portfolio Cardiology Group 11,Specialist Practice,0,9999900017,862-555-1011,862-555-2011,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG018,SRC-ORG018,Portfolio Dermatology Group 12,Specialist Practice,0,9999900018,862-555-1012,862-555-2012,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG019,SRC-ORG019,Portfolio Endocrinology Group 13,Specialist Practice,0,9999900019,862-555-1013,862-555-2013,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG020,SRC-ORG020,Portfolio Gastroenterology Group 14,Specialist Practice,0,9999900020,862-555-1014,862-555-2014,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG021,SRC-ORG021,Portfolio Neurology Group 15,Specialist Practice,0,9999900021,862-555-1015,862-555-2015,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG022,SRC-ORG022,Portfolio Orthopedics Group 16,Specialist Practice,0,9999900022,862-555-1016,862-555-2016,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG023,SRC-ORG023,Portfolio Otolaryngology Group 17,Specialist Practice,0,9999900023,862-555-1017,862-555-2017,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG024,SRC-ORG024,Portfolio Pulmonology Group 18,Specialist Practice,0,9999900024,862-555-1018,862-555-2018,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG025,SRC-ORG025,Portfolio Rheumatology Group 19,Specialist Practice,0,9999900025,862-555-1019,862-555-2019,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG026,SRC-ORG026,Portfolio General Surgery Group 20,Specialist Practice,0,9999900026,862-555-1020,862-555-2020,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG027,SRC-ORG027,Portfolio Cardiology Group 21,Specialist Practice,0,9999900027,862-555-1021,862-555-2021,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG028,SRC-ORG028,Portfolio Dermatology Group 22,Specialist Practice,0,9999900028,862-555-1022,862-555-2022,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG029,SRC-ORG029,Portfolio Endocrinology Group 23,Specialist Practice,0,9999900029,862-555-1023,862-555-2023,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG030,SRC-ORG030,Portfolio Gastroenterology Group 24,Specialist Practice,0,9999900030,862-555-1024,862-555-2024,1,2025-07-01 12:00:00,2025-07-01 12:00:00
ORG031,SRC-ORG031,Portfolio Neurology Group 25,Specialist Practice,0,9999900031,862-555-1025,862-555-2025,1,2025-07-01 12:00:00,2025-07-01 12:00:00
